id,variant,language,question,expected_source,expected_recommendations,top_k,status,found,best_rank,relevant_in_top_k,precision_at_k,average_precision_at_k,reciprocal_rank,top_score,top_chunk_id,top_page
1,1,ar,هل الأسبرين بيقلل خطر سرطان القولون لمرضى متلازمة لينش؟,Recommendation 1.1.1 - Page 7,1.1.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.8082,ng151-p7-c2,7
1,2,ar,إيه دور الأسبرين في الوقاية من سرطان الأمعاء عند مرضى لينش؟,Recommendation 1.1.1 - Page 7,1.1.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.7902,ng151-p7-c2,7
1,1,en,Does aspirin reduce colorectal cancer risk in Lynch syndrome patients?,Recommendation 1.1.1 - Page 7,1.1.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.9214,ng151-p7-c2,7
1,2,en,What is aspirin's role in preventing colon cancer for Lynch syndrome patients?,Recommendation 1.1.1 - Page 7,1.1.1,5,PASS,yes,1,1,0.2,1.0,1.0,0.9105,ng151-p7-c2,7
2,1,ar,إيه علاجات سرطان المستقيم المبكر المتاحة؟,Recommendation 1.3.3 - Table 1 - Page 10,1.3.3,5,PASS,yes,1,3,0.6,1.0,1.0,0.8835,ng151-p10-12-c2-part1,10-12
2,2,ar,لو عندي سرطان مستقيم في مرحلة مبكرة اختياراتي إيه؟,Recommendation 1.3.3 - Table 1 - Page 10,1.3.3,5,PASS,yes,1,3,0.6,1.0,1.0,0.878,ng151-p10-12-c2-part1,10-12
2,1,en,What treatments are available for early rectal cancer?,Recommendation 1.3.3 - Table 1 - Page 10,1.3.3,5,PASS,yes,1,3,0.6,1.0,1.0,0.903,ng151-p10-12-c2-part1,10-12
2,2,en,"If I have early-stage rectal cancer, what are my options?",Recommendation 1.3.3 - Table 1 - Page 10,1.3.3,5,PASS,yes,2,1,0.2,0.5,0.5,0.8587,ng151-p13-c2,13
3,1,ar,هل المريض ياخد علاج إشعاعي قبل جراحة سرطان المستقيم؟,Recommendations 1.3.4-1.3.5 - Page 13,1.3.4;1.3.5,5,PASS,yes,2,2,0.4,0.5833,0.5,0.7912,ng151-p10-12-c2-part1,10-12
3,2,ar,إمتى بيتحدد إن المريض محتاج علاج إشعاعي قبل العملية؟,Recommendations 1.3.4-1.3.5 - Page 13,1.3.4;1.3.5,5,PASS,yes,3,2,0.4,0.3667,0.3333,0.7718,ng151-p10-12-c2-part1,10-12
