language,question,expected_intent,expected_chunk_prefix
ar,اعراض سرطان القولون,symptoms_referral,ng12-
ar,اي اعراض المرحله الاولى,symptoms_referral,ng12-
ar,ايه علامات سرطان الأمعاء,symptoms_referral,ng12-
ar,امتى أعراض القولون تحتاج كشف أو تحليل,symptoms_referral,ng12-
ar,هل تغير عادات الإخراج ممكن يحتاج فحص,symptoms_referral,ng12-
ar,وجود دم من المستقيم يستدعي ايه,symptoms_referral,ng12-
en,What are warning signs for colorectal cancer referral?,symptoms_referral,ng12-
en,What are the early-stage symptoms?,symptoms_referral,ng12-
en,When does rectal bleeding need investigation?,symptoms_referral,ng12-
en,Does a change in bowel habit require FIT testing?,symptoms_referral,ng12-
ar,انا اتشخصت سرطان قولون ابدأ منين,newly_diagnosed_information,ng151-p7-c3
ar,عندي سرطان في القولون المفروض اعمل اي,newly_diagnosed_information,ng151-p7-c3
ar,اتكلم مع مين بعد تشخيص سرطان القولون,newly_diagnosed_information,ng151-p7-c3
en,I was diagnosed with colon cancer where do I start?,newly_diagnosed_information,ng151-p7-c3
en,I have colorectal cancer what should I do?,newly_diagnosed_information,ng151-p7-c3
ar,المتابعة بعد جراحة سرطان القولون بتكون ازاي,follow_up,ng151-p26-c2
ar,بعد العملية هتابع لمدة قد ايه,follow_up,ng151-p26-c2
en,What surveillance is needed after curative surgery?,follow_up,ng151-p26-c2
en,How long is follow-up after colorectal cancer surgery?,follow_up,ng151-p26-c2
